Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views
2:56 PM,12,0,0,2,5,0,0,0,0
2:57 PM,12,0,0,0,0,0,0,0,0
2:58 PM,12,0,0,0,0,0,0,0,0
2:59 PM,11,0,0,1,1,0,0,0,0
3:00 PM,11,0,0,0,0,0,0,0,0
3:01 PM,11,1,0,0,0,0,0,0,0
3:02 PM,12,0,0,0,0,0,0,0,0
3:03 PM,15,2,0,1,1,0,0,0,0
3:04 PM,13,0,0,0,0,0,0,0,0
3:05 PM,13,0,0,0,0,0,0,0,0
3:06 PM,14,1,0,0,0,0,0,0,0
3:07 PM,14,1,0,0,0,0,0,0,0
3:08 PM,14,1,0,0,0,0,0,0,0
3:09 PM,13,1,0,0,0,0,0,0,0
3:10 PM,13,0,0,0,0,0,0,0,0
3:11 PM,12,1,0,0,0,0,0,0,0
3:12 PM,15,3,0,2,3,0,0,0,0
3:13 PM,16,0,0,1,1,0,0,0,0
3:14 PM,15,0,0,0,0,90,0,0,0
3:15 PM,13,1,0,1,1,0,0,0,0
3:16 PM,15,1,0,2,3,0,0,0,0
3:17 PM,15,0,0,2,2,0,0,0,0
3:18 PM,14,2,0,2,2,0,0,0,0
3:19 PM,16,1,0,1,2,0,0,0,0
3:20 PM,15,0,0,0,0,0,0,0,0
3:21 PM,16,0,0,1,1,0,0,0,0
3:22 PM,14,0,0,0,0,0,0,0,0
3:23 PM,14,0,0,1,2,0,0,0,0
3:24 PM,14,0,0,1,2,0,0,0,0
3:25 PM,14,0,0,1,1,0,0,0,0
3:26 PM,14,1,0,0,0,0,0,0,0
3:27 PM,16,1,0,0,0,0,0,0,0
3:28 PM,16,0,0,0,0,0,0,0,0
3:29 PM,15,0,0,0,0,0,0,0,0
3:30 PM,15,0,0,0,0,0,0,0,0
3:31 PM,15,0,0,0,0,0,0,0,0
3:32 PM,14,0,0,0,0,0,0,0,0
3:33 PM,14,0,0,1,3,0,0,0,0
3:34 PM,14,0,0,0,0,0,0,0,0
3:35 PM,14,0,0,0,0,0,0,0,0
3:36 PM,15,0,0,0,0,0,0,0,0
3:37 PM,15,0,0,0,0,0,0,0,0
3:38 PM,14,0,0,0,0,0,0,0,0
3:39 PM,14,0,0,0,0,0,0,0,0
3:40 PM,16,1,0,0,0,0,0,0,0
3:41 PM,15,0,0,1,2,0,0,0,0
3:42 PM,17,2,0,0,0,0,0,0,0
3:43 PM,17,1,0,0,0,0,0,0,0
3:44 PM,17,0,0,0,0,90,0,0,0
3:45 PM,19,0,0,0,0,0,0,0,0
3:46 PM,15,1,0,0,0,0,0,0,0
3:47 PM,15,1,0,0,0,0,0,0,0
3:48 PM,15,0,0,0,0,0,0,0,0
3:49 PM,16,2,0,0,0,0,0,0,0
3:50 PM,17,2,0,1,1,0,0,0,0
3:51 PM,17,1,0,0,0,0,0,0,0
3:52 PM,14,0,0,1,1,0,0,0,0
3:53 PM,14,0,0,1,1,0,0,0,0
3:54 PM,14,0,0,2,2,0,0,0,0
3:55 PM,14,0,0,0,0,0,0,0,0
3:56 PM,16,1,0,0,0,0,0,0,0
3:57 PM,16,2,0,0,0,0,0,0,0
3:58 PM,17,0,0,0,0,0,0,0,0
3:59 PM,16,0,0,0,0,0,0,0,0
4:00 PM,14,1,0,0,0,0,0,0,0
4:01 PM,15,0,0,0,0,0,0,0,0
4:02 PM,14,0,0,1,1,0,0,0,0
4:03 PM,14,0,0,0,0,0,0,0,0
4:04 PM,14,0,0,1,1,0,0,0,0
4:05 PM,14,0,0,2,2,0,0,0,0
4:06 PM,14,0,0,1,1,0,0,0,0
4:07 PM,14,0,0,1,1,0,0,0,0
4:08 PM,16,2,0,2,2,0,0,0,0
4:09 PM,15,1,0,1,1,0,0,0,0
4:10 PM,17,1,0,0,0,0,0,0,0
4:11 PM,16,0,0,0,0,0,0,0,0
4:12 PM,15,0,0,1,1,0,0,0,0
4:13 PM,14,0,0,0,0,0,0,0,0
4:14 PM,14,0,0,0,0,90,0,0,0
4:15 PM,14,0,0,0,0,0,0,0,0
4:16 PM,14,1,0,0,0,0,0,0,0
4:17 PM,15,0,0,0,0,0,0,0,0
4:18 PM,17,0,0,1,1,0,0,0,0
4:19 PM,16,0,0,0,0,0,0,0,0
4:20 PM,16,1,0,0,0,0,0,0,0
4:21 PM,16,0,0,0,0,0,0,0,0
4:22 PM,16,1,0,0,0,0,0,0,0
4:23 PM,16,0,0,0,0,0,0,0,0
4:24 PM,15,0,0,0,0,0,0,0,0
4:25 PM,15,0,0,0,0,0,0,0,0
4:26 PM,17,1,0,0,0,0,0,0,0
4:27 PM,17,0,0,0,0,0,0,0,0
4:28 PM,17,0,0,0,0,0,0,0,0
4:29 PM,17,0,0,0,0,0,0,0,0
4:30 PM,16,0,0,0,0,0,0,0,0
4:31 PM,17,1,0,0,0,0,0,0,0
4:32 PM,17,0,0,0,0,0,0,0,0
4:33 PM,15,0,0,0,0,0,0,0,0
4:34 PM,14,0,0,0,0,0,0,0,0
4:35 PM,15,1,0,0,0,0,0,0,0
4:36 PM,15,0,0,0,0,0,0,0,0
4:37 PM,12,1,0,0,0,0,0,0,0
4:38 PM,15,1,0,0,0,0,0,0,0
4:39 PM,12,0,0,0,0,0,0,0,0
4:40 PM,12,3,0,0,0,0,0,0,0
4:41 PM,17,0,0,0,0,0,0,0,0
4:42 PM,17,1,0,0,0,0,0,0,0
4:43 PM,15,0,0,0,0,0,0,0,0
4:44 PM,15,1,0,0,0,90,0,0,0
4:45 PM,15,0,0,0,0,0,0,0,0
4:46 PM,14,0,0,0,0,0,0,0,0
4:47 PM,14,0,0,0,0,0,0,0,0
4:48 PM,14,0,0,0,0,0,0,0,0
4:49 PM,13,0,0,0,0,0,0,0,0
4:50 PM,13,0,0,0,0,0,0,0,0
4:51 PM,13,2,0,0,0,0,0,0,0
4:52 PM,15,0,0,0,0,0,0,0,0
4:53 PM,17,1,0,0,0,0,0,0,0
4:54 PM,16,0,0,0,0,0,0,0,0
4:55 PM,16,0,0,0,0,0,0,0,0
4:56 PM,12,2,0,2,3,0,0,0,0
